gameid,league,split,date,week,game,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,kpm,okpm,ckpm,teamdragkills,herald,ft,teamtowerkills,fbaron,teambaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardkills,wcpm,visionwards,totalgold,goldspent,minionkills,monsterkills,cspm
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,5,Blue,Support,kaSing,Splyce,Soraka,Ryze,Taric,Vladimir,Kog'Maw,Lucian,24.75,0,0,1,1,2,10,0,0,0.484848484848485,0,0,0,1,0,0,5965,241.010101010101,0.325476073552682,0.0675387891694554,33,1.33333333333333,6,0.242424242424242,8,4637,3875,8,0,0.323232323232323
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,4,Blue,ADC,Kobbe,Splyce,Kai'Sa,Ryze,Taric,Vladimir,Kog'Maw,Lucian,24.75,0,0,2,0,2,10,0,0.0808080808080808,0.484848484848485,0,0,0,1,0,0,2291,92.5656565656566,0.125006820538004,0.244295710374201,8,0.323232323232323,2,0.0808080808080808,3,8123,7700,215,3,8.80808080808081
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,3,Blue,Middle,Nisqy,Splyce,Irelia,Ryze,Taric,Vladimir,Kog'Maw,Lucian,24.75,0,1,2,1,2,10,0.0404040404040404,0.121212121212121,0.484848484848485,0,0,0,1,0,0,4668,188.606060606061,0.254706171222786,0.294087820707839,10,0.404040404040404,4,0.161616161616162,3,9105,9083,236,12,10.020202020202
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,1,Blue,Top,Odoamne,Splyce,Cho'gath,Ryze,Taric,Vladimir,Kog'Maw,Lucian,24.75,0,1,4,0,2,10,0.0404040404040404,0.202020202020202,0.484848484848485,0,0,0,1,0,0,4569,184.606060606061,0.249304305123588,0.243636548017442,12,0.484848484848485,1,0.0404040404040404,5,8110,7875,196,6,8.16161616161616
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,100,Blue,Team,Team,Splyce,,Ryze,Taric,Vladimir,Kog'Maw,Lucian,24.75,0,2,10,3,2,10,0.0808080808080808,0.404040404040404,0.484848484848485,0,0,0,1,0,0,18327,740.484848484849,,,71,2.86868686868687,27,1.09090909090909,24,36247,34408,674,114,31.8383838383838
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,2,Blue,Jungle,Xerxe,Splyce,Trundle,Ryze,Taric,Vladimir,Kog'Maw,Lucian,24.75,0,0,1,1,2,10,0,0,0.484848484848485,0,0,0,1,0,0,834,33.6969696969697,0.0455066295629399,0.150441131731062,8,0.323232323232323,14,0.565656565656566,5,6272,5875,19,93,4.52525252525253
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,9,Red,ADC,Attila,Vitality,Heimerdinger,Taliyah,Lulu,Ornn,Pyke,Camille,24.75,1,2,0,4,10,2,0.0808080808080808,0,0.484848484848485,2,1,1,10,1,1,8525,344.444444444444,0.20865968278833,0.232258634916893,8,0.323232323232323,5,0.202020202020202,1,11186,8885,231,16,9.97979797979798
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,6,Red,Top,Cabochard,Vitality,Aatrox,Taliyah,Lulu,Ornn,Pyke,Camille,24.75,1,5,0,2,10,2,0.202020202020202,0.0404040404040404,0.484848484848485,2,1,1,10,1,1,11853,478.909090909091,0.290116506755434,0.285305905929506,11,0.444444444444444,6,0.242424242424242,3,12986,10700,215,27,9.77777777777778
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,7,Red,Jungle,Gilius,Vitality,Skarner,Taliyah,Lulu,Ornn,Pyke,Camille,24.75,1,0,0,6,10,2,0,0,0.484848484848485,2,1,1,10,1,1,1740,70.3030303030303,0.0425886038770315,0.169987032889308,33,1.33333333333333,7,0.282828282828283,7,9073,7750,19,122,5.6969696969697
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,10,Red,Support,Jactroll,Vitality,Fiddlesticks,Taliyah,Lulu,Ornn,Pyke,Camille,24.75,1,0,1,6,10,2,0,0,0.484848484848485,2,1,1,10,1,1,5303,214.262626262626,0.129797336988447,0.102793822939998,23,0.929292929292929,12,0.484848484848485,8,6793,5650,21,0,0.848484848484848
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,8,Red,Middle,Jiizuke,Vitality,Zoe,Taliyah,Lulu,Ornn,Pyke,Camille,24.75,1,3,1,2,10,2,0.121212121212121,0.0404040404040404,0.484848484848485,2,1,1,10,1,1,13435,542.828282828283,0.328837869590758,0.209654603324296,12,0.484848484848485,7,0.282828282828283,5,10419,8525,199,13,8.56565656565657
1002530085,EULCS,02/01/2018,43266.4212615741,1,1,200,Red,Team,Team,Vitality,,Taliyah,Lulu,Ornn,Pyke,Camille,24.75,1,10,2,20,10,2,0.404040404040404,0.0808080808080808,0.484848484848485,2,1,1,10,1,1,40856,1650.74747474747,,,87,3.51515151515152,37,1.4949494949495,24,50457,41510,685,178,34.8686868686869
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,8,Red,Middle,Betsy,Giants Gaming,Azir,Taric,Irelia,Lulu,Mordekaiser,Draven,45.55,1,6,1,1,9,13,0.13172338090011,0.13172338090011,0.482985729967069,4,1,0,10,1,2,30689,673.743139407245,0.402172773496881,0.276466340038243,19,0.417124039517014,12,0.26344676180022,3,19326,18375,371,28,8.7596048298573
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,7,Red,Jungle,Djoko,Giants Gaming,Taliyah,Taric,Irelia,Lulu,Mordekaiser,Draven,45.55,1,0,4,3,9,13,0,0.0878155872667399,0.482985729967069,4,1,0,10,1,2,10297,226.059275521405,0.134939980080726,0.165223921018293,18,0.395170142700329,17,0.373216245883644,15,13904,13450,34,188,4.87376509330406
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,6,Red,Top,Ruin,Giants Gaming,Poppy,Taric,Irelia,Lulu,Mordekaiser,Draven,45.55,1,1,3,6,9,13,0.021953896816685,0.0439077936333699,0.482985729967069,4,1,0,10,1,2,16835,369.593852908891,0.220619070084395,0.20974550885918,25,0.548847420417124,6,0.13172338090011,7,16074,15300,309,18,7.17892425905598
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,10,Red,Support,SirNukesAlot,Giants Gaming,Tahm Kench,Taric,Irelia,Lulu,Mordekaiser,Draven,45.55,1,0,3,5,9,13,0,0,0.482985729967069,4,1,0,10,1,2,4539,99.6487376509331,0.0594826230539393,0.1123724877104,76,1.66849615806806,6,0.13172338090011,26,11328,10400,78,0,1.71240395170143
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,9,Red,ADC,Steeelback,Giants Gaming,Lucian,Taric,Irelia,Lulu,Mordekaiser,Draven,45.55,1,2,2,3,9,13,0.0439077936333699,0.021953896816685,0.482985729967069,4,1,0,10,1,2,13948,306.212952799122,0.182785553284059,0.236191742373883,17,0.373216245883644,14,0.30735455543359,5,17363,16050,338,31,8.10098792535675
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,200,Red,Team,Team,Giants Gaming,,Taric,Irelia,Lulu,Mordekaiser,Draven,45.55,1,9,13,18,9,13,0.197585071350165,0.285400658616904,0.482985729967069,4,1,0,10,1,2,76308,1675.2579582876,,,155,3.40285400658617,55,1.20746432491767,56,77995,73575,1130,265,30.6256860592755
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,5,Blue,Support,promisq,H2K,Soraka,Ryze,Graves,Vladimir,Shen,Aatrox,45.55,0,0,2,10,13,10,0,0,0.482985729967069,1,0,1,6,0,0,9029,198.221734357849,0.082494289629968,0.10187296967294,77,1.69045005488474,22,0.482985729967069,25,10373,9355,33,0,0.724478594950604
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,3,Blue,Middle,Selfie,H2K,Zoe,Ryze,Graves,Vladimir,Shen,Aatrox,45.55,0,6,3,4,13,10,0.13172338090011,0.13172338090011,0.482985729967069,1,0,1,6,0,0,48152,1057.12403951701,0.439945180447693,0.270854753612349,14,0.30735455543359,14,0.30735455543359,11,17874,16925,354,37,8.58397365532382
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,4,Blue,ADC,Sheriff,H2K,Karma,Ryze,Graves,Vladimir,Shen,Aatrox,45.55,0,1,0,9,13,10,0.021953896816685,0.0439077936333699,0.482985729967069,1,0,1,6,0,0,24950,547.74972557629,0.227957971676565,0.210097005140867,19,0.417124039517014,4,0.0878155872667399,10,15177,14500,328,8,7.37650933040615
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,2,Blue,Jungle,Shook,H2K,Nocturne,Ryze,Graves,Vladimir,Shen,Aatrox,45.55,0,4,2,7,13,10,0.0878155872667399,0,0.482985729967069,1,0,1,6,0,0,13139,288.452250274424,0.120045682960256,0.214152027285793,11,0.241492864983535,14,0.30735455543359,5,15357,14225,71,176,5.42261251372119
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,1,Blue,Top,Smittyj,H2K,Ornn,Ryze,Graves,Vladimir,Shen,Aatrox,45.55,0,2,3,8,13,10,0.0439077936333699,0.021953896816685,0.482985729967069,1,0,1,6,0,0,14180,311.306256860593,0.129556875285519,0.203023244288051,21,0.461031833150384,8,0.17563117453348,6,14863,14200,277,24,6.60812294182217
1002530088,EULCS,02/01/2018,43266.4813310185,1,1,100,Blue,Team,Team,H2K,,Ryze,Graves,Vladimir,Shen,Aatrox,45.55,0,13,10,38,13,10,0.285400658616904,0.197585071350165,0.482985729967069,1,0,1,6,0,0,109450,2402.85400658617,,,142,3.11745334796926,62,1.36114160263447,57,73644,69205,1063,245,28.7156970362239
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,2,Blue,Jungle,Amazing,Schalke 04,Camille,Vladimir,Ornn,Taric,Alistar,Rakan,34.05,1,1,2,3,9,6,0.0293685756240822,0.0881057268722467,0.440528634361234,1,0,1,10,1,1,6228,182.907488986784,0.110417700872279,0.162718060114257,7,0.205580029368576,20,0.587371512481645,7,11245,10608,38,118,4.58149779735683
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,3,Blue,Middle,Nukeduck,Schalke 04,Kayle,Vladimir,Ornn,Taric,Alistar,Rakan,34.05,1,4,1,2,9,6,0.117474302496329,0.0881057268722467,0.440528634361234,1,0,1,10,1,1,15251,447.900146842878,0.270388624920218,0.276472952411939,14,0.411160058737151,4,0.117474302496329,6,16000,14825,340,26,10.7488986784141
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,100,Blue,Team,Team,Schalke 04,,Vladimir,Ornn,Taric,Alistar,Rakan,34.05,1,9,6,20,9,6,0.26431718061674,0.176211453744493,0.440528634361234,1,0,1,10,1,1,56404,1656.50513950073,,,111,3.25991189427313,47,1.38032305433187,38,64017,59163,1023,188,35.5653450807636
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,4,Blue,ADC,Upset,Schalke 04,Ezreal,Vladimir,Ornn,Taric,Alistar,Rakan,34.05,1,2,1,4,9,6,0.0587371512481645,0,0.440528634361234,1,0,1,10,1,1,19818,582.026431718062,0.351358059712077,0.251066496971321,18,0.52863436123348,10,0.293685756240822,4,14938,13780,317,25,10.0440528634361
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,5,Blue,Support,Vander,Schalke 04,Braum,Vladimir,Ornn,Taric,Alistar,Rakan,34.05,1,0,0,7,9,6,0,0,0.440528634361234,1,0,1,10,1,1,3500,102.790014684288,0.0620523367137082,0.114775935158515,56,1.64464023494861,12,0.352422907488987,17,9241,8300,70,0,2.05580029368576
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,1,Blue,Top,Vizicsacsi,Schalke 04,Cho'gath,Vladimir,Ornn,Taric,Alistar,Rakan,34.05,1,2,2,4,9,6,0.0587371512481645,0,0.440528634361234,1,0,1,10,1,1,11607,340.881057268722,0.205783277781718,0.194966555343968,16,0.469897209985316,1,0.0293685756240822,4,12593,11650,258,19,8.13509544787078
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,8,Red,Middle,Exileh,Unicorns of Love,Yasuo,Zoe,Lulu,Irelia,Ryze,Fizz,34.05,0,3,3,2,6,9,0.0881057268722467,0.117474302496329,0.440528634361234,1,1,0,6,0,0,8062,236.769456681351,0.1995346995347,0.244287401929363,13,0.381791483113069,1,0.0293685756240822,2,13666,13550,293,14,9.01615271659325
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,7,Red,Jungle,Kold,Unicorns of Love,Trundle,Zoe,Lulu,Irelia,Ryze,Fizz,34.05,0,3,1,3,6,9,0.0881057268722467,0.0293685756240822,0.440528634361234,1,1,0,6,0,0,7158,210.220264317181,0.177160677160677,0.177458983826622,12,0.352422907488987,24,0.704845814977974,10,11143,11050,42,129,5.02202643171806
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,9,Red,ADC,Samux,Unicorns of Love,Lucian,Zoe,Lulu,Irelia,Ryze,Fizz,34.05,0,0,0,2,6,9,0,0.0587371512481645,0.440528634361234,1,1,0,6,0,0,8870,260.499265785609,0.219532719532719,0.236447048477753,9,0.26431718061674,14,0.411160058737151,4,13370,12725,343,12,10.4258443465492
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,200,Red,Team,Team,Unicorns of Love,,Zoe,Lulu,Irelia,Ryze,Fizz,34.05,0,6,9,11,6,9,0.176211453744493,0.26431718061674,0.440528634361234,1,1,0,6,0,0,40404,1186.60792951542,,,93,2.73127753303965,53,1.55653450807636,31,59970,58150,1106,176,37.6505139500734
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,10,Red,Support,Totoro,Unicorns of Love,Tahm Kench,Zoe,Lulu,Irelia,Ryze,Fizz,34.05,0,0,3,2,6,9,0,0,0.440528634361234,1,1,0,6,0,0,3397,99.7650513950073,0.0840758340758341,0.097121848628203,46,1.35095447870778,9,0.26431718061674,14,8110,7750,79,0,2.3201174743025
1002530090,EULCS,02/01/2018,43266.5340046296,1,1,6,Red,Top,WhiteKnight,Unicorns of Love,Aatrox,Zoe,Lulu,Irelia,Ryze,Fizz,34.05,0,0,2,2,6,9,0,0.0587371512481645,0.440528634361234,1,1,0,6,0,0,12917,379.35389133627,0.31969606969607,0.244684717138059,13,0.381791483113069,5,0.146842878120411,1,13681,13075,349,21,10.8663729809104
1002530092,EULCS,02/01/2018,43266.574212963,1,1,4,Blue,ADC,Hjarnan,G2 Esports,Heimerdinger,Vladimir,Camille,Lulu,Skarner,Nocturne,23.6333333333333,1,1,1,10,13,2,0.0423131170662906,0,0.634696755994358,1,1,1,10,,0,12976,549.055007052186,0.340980160294311,0.219620698287063,8,0.338504936530324,4,0.169252468265162,2,10538,9035,205,5,8.88575458392102
1002530092,EULCS,02/01/2018,43266.574212963,1,1,2,Blue,Jungle,Jankos,G2 Esports,Trundle,Vladimir,Camille,Lulu,Skarner,Nocturne,23.6333333333333,1,2,0,10,13,2,0.0846262341325811,0.0423131170662906,0.634696755994358,1,1,1,10,,0,2510,106.205923836389,0.0659571672579162,0.185260635825059,10,0.423131170662906,13,0.550070521861777,5,9385,7925,23,122,6.13540197461213
1002530092,EULCS,02/01/2018,43266.574212963,1,1,3,Blue,Middle,Perkz,G2 Esports,Zoe,Vladimir,Camille,Lulu,Skarner,Nocturne,23.6333333333333,1,4,0,4,13,2,0.169252468265162,0.0423131170662906,0.634696755994358,1,1,1,10,,0,11535,488.081805359662,0.303113914071738,0.223256368382782,10,0.423131170662906,5,0.211565585331453,3,10660,9175,182,22,8.63187588152327
1002530092,EULCS,02/01/2018,43266.574212963,1,1,100,Blue,Team,Team,G2 Esports,,Vladimir,Camille,Lulu,Skarner,Nocturne,23.6333333333333,1,13,2,39,13,2,0.550070521861777,0.0846262341325811,0.634696755994358,1,1,1,10,,0,38055,1610.22566995769,,,67,2.83497884344147,34,1.43864598025388,23,49398,41810,677,185,36.4739069111425
1002530092,EULCS,02/01/2018,43266.574212963,1,1,5,Blue,Support,Wadid,G2 Esports,Fiddlesticks,Vladimir,Camille,Lulu,Skarner,Nocturne,23.6333333333333,1,2,0,11,13,2,0.0846262341325811,0,0.634696755994358,1,1,1,10,,0,4140,175.176304654443,0.108789909341742,0.112368430463339,29,1.22708039492243,10,0.423131170662906,10,6939,6025,16,0,0.677009873060649
1002530092,EULCS,02/01/2018,43266.574212963,1,1,1,Blue,Top,Wunder,G2 Esports,Dr. Mundo,Vladimir,Camille,Lulu,Skarner,Nocturne,23.6333333333333,1,4,1,4,13,2,0.169252468265162,0,0.634696755994358,1,1,1,10,,0,6894,291.706629055007,0.181158849034293,0.259493867041757,10,0.423131170662906,2,0.0846262341325811,3,11876,9650,251,36,12.1438645980254
1002530092,EULCS,02/01/2018,43266.574212963,1,1,8,Red,Middle,Blanc,Roccat,Yasuo,Irelia,Taliyah,Taric,Aatrox,Ezreal,23.6333333333333,0,1,3,0,2,13,0.0423131170662906,0.169252468265162,0.634696755994358,0,0,0,0,,0,4832,204.456981664316,0.222293784790909,0.28516493733497,11,0.465444287729196,3,0.126939351198872,5,7769,7600,195,5,8.46262341325811
1002530092,EULCS,02/01/2018,43266.574212963,1,1,9,Red,ADC,HeaQ,Roccat,Xayah,Irelia,Taliyah,Taric,Aatrox,Ezreal,23.6333333333333,0,0,2,2,2,13,0,0.0423131170662906,0.634696755994358,0,0,0,0,,0,5181,219.224259520451,0.238349358237107,0.251879950909294,11,0.465444287729196,2,0.0846262341325811,4,7232,6925,185,4,7.99717912552891
